statisticalID,name,partOf,code,physicalType
CT-187,KOBOKO MUNICIPALITY,Location/319,ADMIN_STRUCTURE,Jurisdiction
CT-188,MARACHA COUNTY,Location/320,ADMIN_STRUCTURE,Jurisdiction
CT-189,MARACHA EAST COUNTY,Location/320,ADMIN_STRUCTURE,Jurisdiction
CT-190,OYAM COUNTY,Location/321,ADMIN_STRUCTURE,Jurisdiction
CT-191,AGAGO  WEST COUNTY,Location/322,ADMIN_STRUCTURE,Jurisdiction
CT-192,AGAGO COUNTY,Location/322,ADMIN_STRUCTURE,Jurisdiction
CT-193,AGAGO NORTH COUNTY,Location/322,ADMIN_STRUCTURE,Jurisdiction
CT-194,AJURI COUNTY,Location/323,ADMIN_STRUCTURE,Jurisdiction
CT-195,MOROTO COUNTY,Location/323,ADMIN_STRUCTURE,Jurisdiction
CT-196,UPE COUNTY,Location/324,ADMIN_STRUCTURE,Jurisdiction
CT-197,KOLE NORTH COUNTY,Location/325,ADMIN_STRUCTURE,Jurisdiction
CT-198,KOLE SOUTH COUNTY,Location/325,ADMIN_STRUCTURE,Jurisdiction
CT-199,LAMWO COUNTY,Location/326,ADMIN_STRUCTURE,Jurisdiction
CT-200,PALABEK COUNTY,Location/326,ADMIN_STRUCTURE,Jurisdiction
CT-201,BOKORA COUNTY,Location/327,ADMIN_STRUCTURE,Jurisdiction
CT-202,BOKORA EAST COUNTY,Location/327,ADMIN_STRUCTURE,Jurisdiction
CT-203,NWOYA COUNTY,Location/328,ADMIN_STRUCTURE,Jurisdiction
CT-204,NWOYA EAST COUNTY,Location/328,ADMIN_STRUCTURE,Jurisdiction
CT-205,OTUKE COUNTY,Location/329,ADMIN_STRUCTURE,Jurisdiction
CT-206,OTUKE EAST COUNTY,Location/329,ADMIN_STRUCTURE,Jurisdiction
CT-207,OKORO COUNTY,Location/330,ADMIN_STRUCTURE,Jurisdiction
CT-208,ORA COUNTY,Location/330,ADMIN_STRUCTURE,Jurisdiction
CT-209,OMORO COUNTY,Location/331,ADMIN_STRUCTURE,Jurisdiction
CT-210,TOCHI COUNTY,Location/331,ADMIN_STRUCTURE,Jurisdiction
CT-211,JONAM COUNTY,Location/332,ADMIN_STRUCTURE,Jurisdiction
CT-212,KWANIA COUNTY,Location/333,ADMIN_STRUCTURE,Jurisdiction
CT-213,KWANIA NORTH COUNTY,Location/333,ADMIN_STRUCTURE,Jurisdiction
CT-214,PIAN COUNTY,Location/334,ADMIN_STRUCTURE,Jurisdiction
CT-215,DODOTH WEST COUNTY,Location/335,ADMIN_STRUCTURE,Jurisdiction
CT-216,NAPORE WEST COUNTY,Location/335,ADMIN_STRUCTURE,Jurisdiction
CT-217,OBONGI COUNTY,Location/337,ADMIN_STRUCTURE,Jurisdiction
CT-218,ARUA CENTRAL DIVISION,Location/338,ADMIN_STRUCTURE,Jurisdiction
CT-219,AYIVU DIVISION,Location/338,ADMIN_STRUCTURE,Jurisdiction
CT-220,BARDEGE-LAYIBI DIVISION,Location/339,ADMIN_STRUCTURE,Jurisdiction
CT-221,LAROO-PECE DIVISION,Location/339,ADMIN_STRUCTURE,Jurisdiction
CT-222,VURRA COUNTY,Location/340,ADMIN_STRUCTURE,Jurisdiction
CT-223,TEREGO EAST COUNTY,Location/340,ADMIN_STRUCTURE,Jurisdiction
CT-224,TEREGO WEST COUNTY,Location/340,ADMIN_STRUCTURE,Jurisdiction
CT-225,LIRA EAST DIVISION,Location/341,ADMIN_STRUCTURE,Jurisdiction
CT-226,LIRA WEST DIVISION,Location/341,ADMIN_STRUCTURE,Jurisdiction
CT-227,BUGHENDERA COUNTY,Location/401,ADMIN_STRUCTURE,Jurisdiction
CT-228,BWAMBA COUNTY,Location/401,ADMIN_STRUCTURE,Jurisdiction
CT-229,BUSHENYI -ISHAKA MUNICIPALITY,Location/402,ADMIN_STRUCTURE,Jurisdiction
CT-230,IGARA COUNTY,Location/402,ADMIN_STRUCTURE,Jurisdiction
CT-231,BUGAHYA COUNTY,Location/403,ADMIN_STRUCTURE,Jurisdiction
CT-232,KIGOROBYA COUNTY,Location/403,ADMIN_STRUCTURE,Jurisdiction
CT-233,KABALE MUNICIPALITY,Location/404,ADMIN_STRUCTURE,Jurisdiction
CT-234,NDORWA COUNTY,Location/404,ADMIN_STRUCTURE,Jurisdiction
CT-235,BURAHYA COUNTY,Location/405,ADMIN_STRUCTURE,Jurisdiction
CT-236,BUKONJO COUNTY,Location/406,ADMIN_STRUCTURE,Jurisdiction
CT-237,BUSONGORA COUNTY,Location/406,ADMIN_STRUCTURE,Jurisdiction
CT-238,KASESE MUNICIPALITY,Location/406,ADMIN_STRUCTURE,Jurisdiction
CT-239,BUYANJA COUNTY,Location/407,ADMIN_STRUCTURE,Jurisdiction
CT-240,BUYANJA EAST COUNTY,Location/407,ADMIN_STRUCTURE,Jurisdiction
CT-241,BUFUMBIRA COUNTY,Location/408,ADMIN_STRUCTURE,Jurisdiction
CT-242,BUKIMBIRI COUNTY,Location/408,ADMIN_STRUCTURE,Jurisdiction
CT-243,KISORO MUNICIPALITY,Location/408,ADMIN_STRUCTURE,Jurisdiction
CT-244,BUJENJE COUNTY,Location/409,ADMIN_STRUCTURE,Jurisdiction
CT-245,BURULI COUNTY,Location/409,ADMIN_STRUCTURE,Jurisdiction
CT-246,MASINDI MUNICIPALITY,Location/409,ADMIN_STRUCTURE,Jurisdiction
CT-247,KASHARI NORTH COUNTY,Location/410,ADMIN_STRUCTURE,Jurisdiction
CT-248,KASHARI SOUTH COUNTY,Location/410,ADMIN_STRUCTURE,Jurisdiction
CT-249,NTUNGAMO MUNICIPALITY,Location/411,ADMIN_STRUCTURE,Jurisdiction
CT-250,KAJARA COUNTY,Location/411,ADMIN_STRUCTURE,Jurisdiction
CT-251,RUHAAMA COUNTY,Location/411,ADMIN_STRUCTURE,Jurisdiction
CT-252,RUHAAMA EAST COUNTY,Location/411,ADMIN_STRUCTURE,Jurisdiction
CT-253,RUSHENYI COUNTY,Location/411,ADMIN_STRUCTURE,Jurisdiction
CT-254,RUBABO COUNTY,Location/412,ADMIN_STRUCTURE,Jurisdiction
CT-255,RUJUMBURA COUNTY,Location/412,ADMIN_STRUCTURE,Jurisdiction
CT-256,RUKUNGIRI MUNICIPALITY,Location/412,ADMIN_STRUCTURE,Jurisdiction
CT-257,KIBALE COUNTY,Location/413,ADMIN_STRUCTURE,Jurisdiction
CT-258,KIBALE EAST COUNTY,Location/413,ADMIN_STRUCTURE,Jurisdiction
CT-259,KINKIZI COUNTY,Location/414,ADMIN_STRUCTURE,Jurisdiction
CT-260,MWENGE CENTRAL COUNTY,Location/415,ADMIN_STRUCTURE,Jurisdiction
CT-261,MWENGE COUNTY,Location/415,ADMIN_STRUCTURE,Jurisdiction
CT-262,BULIISA COUNTY,Location/416,ADMIN_STRUCTURE,Jurisdiction
CT-263,IBANDA COUNTY,Location/417,ADMIN_STRUCTURE,Jurisdiction
